City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
245,Rundu,NA,-17.9333,19.7667,75.81,24,3,7.05,clear sky
246,Alagoa Grande,BR,-7.1583,-35.63,86.32,53,78,8.75,broken clouds
247,Sitka,US,57.0531,-135.33,46.29,87,20,0.0,few clouds
248,Alberton,CA,46.8168,-64.0654,60.93,60,16,1.03,few clouds
249,Kiunga,PG,-6.1219,141.2906,72.27,99,68,1.61,broken clouds
250,Namatanai,PG,-3.6667,152.4333,78.78,80,38,5.01,light rain
251,Zaranj,AF,30.9667,61.8833,93.16,11,0,10.29,clear sky
252,San Ramon,US,37.7799,-121.978,65.48,44,9,5.01,clear sky
253,Koutiala,ML,12.3917,-5.4642,100.67,19,86,5.01,overcast clouds
254,Muscatine,US,41.4667,-91.1335,76.66,81,100,10.36,overcast clouds
255,Saint-Francois,FR,46.4154,3.9054,88.68,29,0,16.11,clear sky
256,Norman Wells,CA,65.282,-126.8329,42.84,81,75,0.0,broken clouds
257,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,6.91,light snow
258,Mutoko,ZW,-17.397,32.2268,67.96,46,84,1.63,broken clouds
259,Benghazi,LY,32.1167,20.0667,68.0,54,0,17.05,clear sky
260,Vao,NC,-22.6667,167.4833,74.91,83,100,23.06,overcast clouds
261,Carnarvon,AU,-24.8667,113.6333,71.46,67,0,18.01,clear sky
262,Narrabri,AU,-30.3167,149.7833,51.53,90,74,4.0,broken clouds
263,Patacamaya,BO,-17.2333,-67.9167,51.85,18,48,1.99,scattered clouds
264,Saldanha,ZA,-33.0117,17.9442,60.85,72,11,20.13,few clouds
265,Jinan,CN,36.6683,116.9972,75.51,31,23,4.56,few clouds
266,Strezhevoy,RU,60.7333,77.5889,48.69,84,96,15.46,light rain
267,Waipawa,NZ,-41.4122,175.5153,41.09,78,16,6.38,few clouds
268,Pisco,PE,-13.7,-76.2167,68.02,82,40,6.91,smoke
269,Tiksi,RU,71.6872,128.8694,30.43,87,100,7.45,overcast clouds
270,Ngunguru,NZ,-35.6167,174.5,56.19,66,84,14.18,broken clouds
271,Fernley,US,39.608,-119.2518,50.0,26,38,1.99,scattered clouds
272,Cabo San Lucas,MX,22.8909,-109.9124,82.62,50,1,7.0,clear sky
273,Nanortalik,GL,60.1432,-45.2371,39.04,77,68,7.7,broken clouds
274,Klaksvik,FO,62.2266,-6.589,50.92,98,100,19.53,overcast clouds
275,Murray Bridge,AU,-35.1167,139.2667,49.82,71,100,3.53,overcast clouds
276,Oktyabrskiy,RU,54.4815,53.471,43.88,91,100,4.74,overcast clouds
277,Kahului,US,20.8947,-156.47,75.85,73,40,3.44,scattered clouds
278,Batemans Bay,AU,-35.7167,150.1833,58.1,82,100,4.16,overcast clouds
279,Sisophon,KH,13.5859,102.9737,77.94,88,100,4.14,overcast clouds
280,Namibe,AO,-15.1961,12.1522,72.63,64,56,15.19,broken clouds
281,Yulara,AU,-25.2406,130.9889,57.45,60,2,10.83,clear sky
282,Aykhal,RU,66.0,111.5,34.52,93,100,2.66,overcast clouds
283,Hurricane,US,37.1753,-113.2899,64.74,21,5,16.53,clear sky
284,Semnan,IR,35.5729,53.3971,82.76,14,18,11.61,few clouds
285,Leningradskiy,RU,69.3833,178.4167,26.91,93,55,5.19,broken clouds
286,Knysna,ZA,-34.0363,23.0471,58.01,77,98,7.07,light rain
287,San Andres,CO,12.5847,-81.7006,86.02,79,75,5.75,broken clouds
288,Ipil,PH,7.75,122.5167,76.68,90,98,3.67,overcast clouds
289,Sola,VU,-13.8833,167.55,81.59,77,12,12.44,few clouds
290,Bucerias,MX,20.75,-105.3333,81.99,63,22,4.81,few clouds
291,Pavlogradka,RU,54.2024,73.5592,55.96,49,86,5.3,overcast clouds
292,Tarabuco,BO,-19.1667,-64.9167,59.32,19,12,2.44,few clouds
293,Saint-Pierre,RE,-21.3393,55.4781,76.68,65,100,5.75,overcast clouds
294,Panama City,PA,8.9936,-79.5197,80.8,98,100,11.5,overcast clouds
295,Geraldton,AU,-28.7667,114.6,57.61,94,8,10.36,clear sky
296,Yeppoon,AU,-23.1333,150.7333,60.58,91,100,22.53,light rain
297,Kurilsk,RU,45.2333,147.8833,44.76,96,56,4.32,broken clouds
298,Lompoc,US,34.6391,-120.4579,63.59,81,39,3.0,scattered clouds
299,Touros,BR,-5.1989,-35.4608,86.27,61,28,7.81,scattered clouds
300,Joshimath,IN,30.5667,79.5667,62.17,62,57,7.05,broken clouds
301,Szprotawa,PL,51.5656,15.5366,79.25,53,83,8.28,broken clouds
302,Victoria,HK,22.2855,114.1577,80.65,80,14,4.0,few clouds
303,Balaipungut,ID,1.05,101.2833,75.92,95,36,2.84,scattered clouds
304,Puerto Quijarro,BO,-17.7833,-57.7667,77.56,23,0,3.6,clear sky
305,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.35,75,62,3.44,broken clouds
306,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,78,75,8.05,broken clouds
307,Antalaha,MG,-14.9003,50.2788,73.76,87,83,7.47,broken clouds
308,Nyurba,RU,63.2842,118.3319,43.95,86,57,3.56,broken clouds
309,Phalodi,IN,27.1333,72.3667,98.65,15,0,18.75,clear sky
310,Yinchuan,CN,38.4681,106.2731,75.33,17,57,4.74,broken clouds
311,Ketchikan,US,55.3422,-131.6461,44.58,73,0,4.36,clear sky
312,Bakal,RU,54.9417,58.8083,41.58,67,100,3.74,overcast clouds
313,Chulumani,BO,-16.4096,-67.5263,75.74,33,49,4.52,scattered clouds
314,San Quintin,MX,30.4833,-115.95,61.27,74,100,8.28,overcast clouds
315,Nemuro,JP,43.3236,145.575,46.92,93,21,5.68,few clouds
316,Mandan,US,46.8267,-100.8896,38.95,91,0,25.32,light intensity drizzle
317,Tiarei,PF,-17.5333,-149.3333,73.42,72,13,10.0,light rain
318,Kavieng,PG,-2.5744,150.7967,81.91,76,11,9.48,light rain
319,Watsa,CD,3.0372,29.5355,66.61,98,100,4.5,light rain
320,Qiyang,CN,26.5911,111.8474,64.4,94,97,0.65,overcast clouds
321,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,48,5,10.63,clear sky
322,Mandalay,MM,21.9747,96.0836,85.87,64,91,1.57,overcast clouds
323,Killybegs,IE,54.6333,-8.45,56.91,78,54,20.31,broken clouds
324,Ankazobe,MG,-18.3167,47.1167,58.5,87,70,5.73,broken clouds
325,Ryotsu,JP,38.0833,138.4333,62.02,59,99,4.76,overcast clouds
326,Catamarca,AR,-28.4696,-65.7852,77.58,29,0,4.21,clear sky
327,Juneau,US,58.3019,-134.4197,53.1,83,0,3.74,clear sky
328,Gewane,ET,10.1664,40.6453,94.75,12,73,7.87,broken clouds
329,Naze,JP,28.3667,129.4833,70.72,91,100,22.68,light rain
330,Oxford,GB,51.7522,-1.256,64.2,68,75,16.11,broken clouds
331,Tallahassee,US,30.4383,-84.2807,86.32,69,40,11.5,scattered clouds
332,Churapcha,RU,62.0025,132.4325,39.83,97,100,1.14,light rain
333,Khipro,PK,25.8285,69.3772,89.89,50,1,23.15,clear sky
334,Blagoyevo,RU,63.3667,47.9167,40.35,63,100,8.77,overcast clouds
335,San Vicente,AR,-26.6167,-54.1333,62.76,37,0,3.78,clear sky
336,Ninghai,CN,29.2892,121.4247,63.72,95,100,3.51,overcast clouds
337,Sala,MA,34.0389,-6.8166,75.88,73,75,11.5,broken clouds
338,Matara,LK,5.9485,80.5353,78.31,91,52,7.96,broken clouds
339,Anadyr,RU,64.75,177.4833,32.5,86,75,6.71,broken clouds
340,Acari,PE,-15.4311,-74.6158,73.71,64,97,7.58,overcast clouds
341,Kaitangata,NZ,-46.2817,169.8464,46.81,83,99,18.79,overcast clouds
342,Antofagasta,CL,-23.65,-70.4,72.21,49,3,8.9,clear sky
343,Houma,US,29.5958,-90.7195,87.01,71,5,11.99,clear sky
344,Lancut,PL,50.0687,22.2291,76.66,47,0,13.8,clear sky
345,Tezu,IN,27.9167,96.1667,69.24,88,68,3.58,broken clouds
